,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,lcy20201008_18,lcy20201008_47,lcy20201008_50,lcy20201008_53,lcy20201008_57,lcy20201008_60,lcy20201008_63,lcy20201008_66,lcy20201008_70,lcy20201008_73,lcy20201008_76,lcy20201008_21,lcy20201008_79,lcy20201008_83,lcy20201008_86,lcy20201008_89,lcy20201008_92,lcy20201008_96,lcy20201008_99,lcy20201008_102,lcy20201008_24,lcy20201008_105,lcy20201008_109,lcy20201008_112,lcy20201008_114,lcy20201008_116,lcy20201008_119,lcy20201008_121,lcy20201008_123,lcy20201008_125,lcy20201008_127,lcy20201008_129,lcy20201008_27,lcy20201008_130,lcy20201008_132,lcy20201008_31,lcy20201008_133,lcy20201008_134,lcy20201008_135,lcy20201008_136,lcy20201008_137,lcy20201008_138,lcy20201008_139,lcy20201008_140,lcy20201008_141,lcy20201008_142,lcy20201008_143,lcy20201008_144,lcy20201008_145,lcy20201008_146,lcy20201008_147,lcy20201008_34,lcy20201008_37,lcy20201008_40,lcy20201008_44,lcy20201008_19,lcy20201008_48,lcy20201008_51,lcy20201008_54,lcy20201008_58,lcy20201008_61,lcy20201008_64,lcy20201008_67,lcy20201008_71,lcy20201008_22,lcy20201008_74,lcy20201008_77,lcy20201008_80,lcy20201008_84,lcy20201008_87,lcy20201008_90,lcy20201008_93,lcy20201008_97,lcy20201008_100,lcy20201008_103,lcy20201008_106,lcy20201008_25,lcy20201008_110,lcy20201008_113,lcy20201008_115,lcy20201008_117,lcy20201008_120,lcy20201008_122,lcy20201008_124,lcy20201008_126,lcy20201008_128,lcy20201008_28,lcy20201008_32,lcy20201008_35,lcy20201008_38,lcy20201008_41,lcy20201008_45,lcy20201008_17,lcy20201008_20,lcy20201008_23,lcy20201008_26,lcy20201008_30,lcy20201008_33,lcy20201008_36,lcy20201008_39,lcy20201008_43,lcy20201008_46,lcy20201008_49,lcy20201008_52,lcy20201008_56,lcy20201008_59,lcy20201008_62,lcy20201008_65,lcy20201008_69,lcy20201008_72,lcy20201008_75,lcy20201008_78,lcy20201008_82,lcy20201008_85,lcy20201008_88,lcy20201008_91,lcy20201008_95,lcy20201008_98,lcy20201008_101,lcy20201008_104,lcy20201008_108,lcy20201008_111,lcy20201008_3,lcy20201008_4,lcy20201008_5,lcy20201008_6,lcy20201008_7,lcy20201008_8,lcy20201008_9,lcy20201008_10,lcy20201008_11,lcy20201008_12,lcy20201008_13,lcy20201008_14,lcy20201008_15,lcy20201008_16,lcy20201008_68,lcy20201008_131,lcy20201008_148,lcy20201008_29,lcy20201008_42,lcy20201008_55,lcy20201008_81,lcy20201008_94,lcy20201008_107,lcy20201008_118
2.65_314.0538n,314.0537915,347.0870057,1,2.652933333,0.1779,2,0,5.199169382,LC,NC,100 - 11.2 - 1.2,127130.7005,23.04,0,0,0,0,0,0,0,0,0,263.5578305,0,0,1847691.461,0,0,0,0,0,0,0,0,0,0,0,0,0,10960.1846,0,135041.3343,0,5948.999248,0,0,7256.205712,611964.0681,0,96.92351248,0,1110108.837,0,0,1199455.43,0,0,0,0,0,0,2063019.503,0,382.025859,0,0,0,0,0,0,0,0,0,0,0,904728.3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385118.5434,0,0,2442328.572,0,0,0,307917.5795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77631.72612,71957.4867,68751.66817,69997.64329,63640.81346,64741.91319,65326.401,62908.14083,60259.19893,60651.27269,82529.4652,63556.61727,67941.85342,69936.5861,69025.50874,80050.98978,67217.31495,67147.2806,0,68455.77015,59320.45741,68885.39565,67539.16474,65743.64841
2.77_331.2085m/z,,331.2084846,1,2.7737,0.156483333,15,0,1.941845871,NC,PTB,100 - 6.11 - 0.176,60753.7553,11.42,33367.88369,41373.99817,45618.24558,52185.1859,64167.99228,59133.78445,60916.37865,62387.36432,45596.21312,44516.65601,43044.34197,58787.93356,46708.27335,48556.23221,29262.72764,40491.61011,34846.79273,53880.76922,68035.06263,52266.33665,46166.28484,86240.96268,61904.28576,54582.04691,54826.57526,67968.25357,63220.16806,83832.58595,49208.79816,99065.11827,55144.51991,46152.75048,58251.66899,44816.75994,51669.52735,62768.87791,81235.48497,49020.73895,63963.53345,97599.71574,70181.17908,94686.07896,49140.25429,68720.82968,56824.65181,55899.83166,74614.33151,61224.12344,57342.11256,67677.99956,29282.68415,43443.05487,62375.64387,47938.28126,72030.43711,75092.2966,71193.93649,45794.17201,59216.07524,77854.59261,66183.51525,74437.95049,66217.7178,82810.54817,88057.15114,62777.24266,50476.63726,65888.8,51678.12313,34824.77027,34107.9398,49257.63591,31916.49827,54578.05861,43871.71659,36487.13094,70525.09315,41847.20204,48089.76927,116961.0748,53717.46753,64961.37442,66024.49993,53395.74772,95915.52054,57398.08973,59783.82029,57453.16563,62553.10256,54673.96773,67444.39346,54422.14787,5132.425858,820780.024,2342.912698,7243.0588,4693.125365,3081.175671,5409.353939,0,3233.560526,3038.528364,4682.233589,4068.610292,4817.345274,2872.569933,7385.969968,6423.111192,4611.279653,4354.375841,5658.803142,4528.311327,2960.111522,2449.175603,3084.924967,4497.243286,4675.272632,3615.967675,3089.047226,5612.217113,1402.760844,2854.50781,41596.55627,42878.47965,43386.38508,44306.74361,43627.03059,48144.06651,39178.44025,49391.81084,44199.13491,42004.4599,49713.41206,48291.09436,48102.09874,45863.04266,51796.03721,41987.07523,43648.75859,49337.98976,63457.26526,47608.30399,42942.58414,44087.11105,37287.93106,42129.70418
2.59_331.0922m/z,,331.0921983,1,2.588633333,0.170766667,54,0,6.33091105,PTB,NC,100 - 13.6 - 0.899,63280.0052,24.22,0,0,0,0,0,0,0,0,0,0,0,0,666812.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,18272.36158,0,49276.6219,0,0,0,0,1087.94477,379458.0497,0,0,0,489671.5928,0,0,517306.501,0,0,0,0,0,0,699845.5053,0,0,0,0,0,0,0,0,0,0,0,0,0,369829.8987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188528.8292,0,0,1621149.918,0,0,0,87222.30081,0,0,0,0,0,0,0,0,1499.108272,0,0,0,0,0,0,0,37846.03344,35013.65618,32965.07325,34549.1398,31284.72913,33412.98769,34534.61746,30209.81177,30351.03008,29700.3554,38777.43308,34223.25117,29311.56895,35831.63855,28336.19732,34162.61694,28789.61683,30882.69576,0,28235.90968,24733.82862,28248.28696,29345.36526,27192.33938
2.57_273.1668m/z,,273.1668483,1,2.57435,0.170766667,7,0,1.18284006,NC,PTB,100 - 3.46,34029.16805,8.94,24948.95403,25927.32006,25418.01464,31002.07418,40859.85968,31815.37505,22508.66973,40366.896,28321.74225,29518.5665,25040.05171,34156.22965,20252.58192,28482.02739,21111.73809,31240.48034,31204.65247,31964.2269,38371.77391,36019.43143,29108.82966,48210.43556,39909.49474,35271.42169,44844.46397,37179.25585,30608.90268,42838.34598,25375.77682,32802.49045,28908.62978,25609.34717,34227.09001,26106.07361,27631.62223,34657.63413,40253.94435,31047.40363,35213.65414,49868.55144,44020.68572,43348.00292,22439.72149,38775.9614,29356.10533,28602.82962,33014.0431,31413.27924,33113.2747,40743.66356,21269.32642,24894.50586,32121.61963,29043.91542,44128.70028,43646.31335,35109.25883,31792.46858,29700.93921,35452.56129,39405.36869,35983.66666,32713.21156,40394.84326,51088.35669,35988.62155,28295.91122,37104.55314,31779.18735,21383.99344,29976.81076,24933.58843,22392.29772,32111.30058,24689.34763,25819.2609,37133.25568,27756.22494,28745.5052,62293.35383,37867.70059,36618.64311,32557.85322,35129.61737,34748.98425,34624.42443,37042.44909,34508.69256,34618.02767,31092.59818,32536.12974,32043.89715,9179.91415,681930.2359,3796.752039,7228.606873,3579.318334,5984.137427,3465.458629,1084.303409,8316.654243,2245.575754,5802.529438,8401.503227,8747.606139,7453.197689,11429.3465,7850.463136,5792.47824,6561.056556,7120.192797,5418.751412,7494.207698,4777.062673,6216.074206,6102.079098,7019.829781,5759.782936,4264.531735,8803.887194,6503.74914,4741.787877,28987.11428,29118.18503,31738.57689,27136.16392,26500.81966,30019.61562,29901.89929,29011.28304,30143.24245,29696.09534,32328.92653,29074.60895,29239.73799,29015.91011,30962.37696,26609.01319,23718.49748,32940.90906,32435.73373,29347.39205,28548.14323,30478.89896,26994.04924,21854.71956
2.34_215.1253m/z,,215.1252705,1,2.339966667,0.13505,13,0,4.644538011,NC,PTB,100 - 0.877,7625.553739,18.44,6251.987829,3322.670204,3903.078734,3327.274177,5577.470284,5266.317814,5850.557592,6976.876435,4838.533784,3989.133792,4300.693878,6569.778373,5052.235561,10781.8517,9358.514643,12431.03464,9348.276001,10825.45749,11617.66233,9264.834008,6128.509043,11887.69239,9387.691388,8938.296265,11589.59802,8343.863255,2755.680865,6435.694268,2714.088529,7225.48673,1621.445958,3836.021181,6263.836521,7749.831101,3332.028372,7387.974364,7896.521549,5951.652509,5677.739709,9612.26265,5472.835029,9801.128726,5984.260045,8157.525081,8874.990075,4037.321112,3313.448087,3351.705612,3067.595176,7507.245359,4432.586185,3524.114897,7151.495265,5817.80967,8171.849524,7743.397984,7138.581699,6051.472865,5181.626027,7491.34493,5319.366224,7853.748693,5913.065912,5312.077832,10634.63302,5278.480561,5312.769946,7634.065644,10194.96194,10765.99803,7790.737408,8779.922094,6563.746906,10175.24219,9607.796738,7113.522608,7289.46472,9103.725645,8359.508212,16446.62663,8460.501958,9191.535301,7789.198685,8165.616405,5384.011657,8364.624994,6610.293127,7058.446874,6646.515165,4005.539663,5167.59324,6245.726815,306.1569926,20539.00244,40.82598334,333.0404938,1226.245289,295.2209801,1100.015027,1206.161002,561.8117809,0,89.36396515,1108.826479,412.6698722,0,1354.974229,0,0,878.6092758,0,339.2601158,1827.888105,3241.038836,3419.5056,1432.391934,1194.671328,1501.775425,571.632587,2684.397945,2670.998238,918.4929198,7542.73108,6125.1625,7223.061145,4708.789519,5523.929873,6907.512597,5324.61058,7145.583539,7354.735372,6652.975292,8857.684338,7250.795139,6555.468913,7528.357228,7771.70634,7541.234911,5849.927186,8910.701016,5264.031811,5729.962502,6374.510282,9550.444482,8783.353813,5783.474063
2.73_340.0578n,340.0577934,373.0912318,1,2.730816667,0.1422,6,0,Infinity,PTB,NC,100 - 17.4 - 0.96,62081.58967,27.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535075.2504,0,0,0,0,0,0,0,0,0,0,0,0,0,685515.5485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120789.5921,0,0,0,0,0,594317.5482,0,0,16137.04435,0,0,0,0,1131203.506,0,0,0,0,0,0,0,0,14287.20721,17370.16287,17072.45863,12684.32692,14984.98688,14428.69918,13637.54414,12961.83361,12047.72002,11029.2396,16333.79811,17497.02471,13377.46145,15447.96438,10582.09866,14433.70314,19857.57898,13685.09991,0,12184.1884,15291.71091,14726.22164,9302.708734,16367.90681
2.80_419.2609m/z,,419.2609049,1,2.802283333,0.127933333,18,0,2.914633279,PTB,LC,100 - 3.46,38591.18132,18.65,22729.38625,18634.04594,23512.5259,22775.24115,22447.70473,19345.82243,18451.14555,21643.02198,28751.54629,14824.282,15943.47877,19584.30608,20103.09319,16861.81092,10684.48686,11863.66558,15338.96751,15355.21205,16659.4217,14040.65953,17015.94751,13702.49583,16479.05514,14055.07828,16883.3059,11555.70533,7376.579728,5199.123739,3152.855867,6688.484275,5526.879076,6623.700027,20127.91008,2591.631239,7262.898209,19180.31312,3962.772109,9746.046173,7021.727254,7807.516051,4862.495719,6801.639431,7104.018339,7889.054058,8440.870039,3708.876136,4855.239256,5618.990757,7198.775179,7164.87566,7199.445183,19861.72202,18916.87974,23747.9783,23346.40178,17427.00563,15567.83735,20226.18155,18450.03278,19200.40792,14525.31043,21311.18234,18083.65065,25669.48897,16691.08873,26656.1454,22485.15858,20353.42965,14301.20254,15614.27237,15975.34218,12829.66891,19782.56758,16644.03684,14675.87769,14425.49404,15180.67906,15156.12085,16517.76656,21832.62621,5124.707254,4525.704908,7690.02609,5902.962391,7877.075484,9890.709187,18744.37652,18932.83533,17005.52008,20597.53736,17732.13061,14473.63426,51165.41524,27089.97923,19439.45816,46069.42478,19236.2924,42337.50225,44856.87716,45459.41359,72578.6182,35475.54756,29179.09744,53141.85658,49836.20014,40630.27599,33744.38862,49035.10254,44361.2154,34611.24375,45870.15922,39721.6444,34138.46212,30110.00793,26860.36423,32124.63473,36978.08367,35114.91485,29879.12545,44798.80711,31647.71938,32243.60737,22326.8176,20331.8559,22445.70628,22669.13687,21231.48861,22915.91548,21935.27029,22522.99144,25003.77398,21651.88394,20345.27828,26442.59147,24041.19813,21482.38823,27534.2184,12800.03649,14454.78034,24823.71835,15310.71902,24869.83924,23835.24943,22117.37487,18922.4909,12648.91844
